date,fiscal_year,month_name,total_cbp_encounters,sw_land_border_total
2020-01-01,2020,January,52250,36580
2020-02-01,2020,February,54880,36690
2020-03-01,2020,March,51860,34460
2020-04-01,2020,April,29740,17110
2020-05-01,2020,May,39880,23240
2020-06-01,2020,June,50070,33030
2020-07-01,2020,July,53690,40950
2020-08-01,2020,August,65700,50010
2020-09-01,2020,September,73870,57680
2020-10-01,2021,October,90580,71930
2020-11-01,2021,November,89070,72110
2020-12-01,2021,December,92750,73990
2021-01-01,2021,January,95280,78410
2021-02-01,2021,February,115560,101100
2021-03-01,2021,March,192030,173280
2021-04-01,2021,April,196190,178800
2021-05-01,2021,May,198460,180600
2021-06-01,2021,June,207820,189030
2021-07-01,2021,July,233920,213590
2021-08-01,2021,August,231240,209840
2021-09-01,2021,September,213620,192000
2021-10-01,2022,October,187140,164840
2021-11-01,2022,November,198550,174850
2021-12-01,2022,December,205690,179250
2022-01-01,2022,January,186810,154870
2022-02-01,2022,February,190580,166010
2022-03-01,2022,March,250400,222570
2022-04-01,2022,April,262110,235790
2022-05-01,2022,May,274990,241140
2022-06-01,2022,June,247520,207830
2022-07-01,2022,July,238930,200160
2022-08-01,2022,August,251520,204090
2022-09-01,2022,September,272340,227550
2022-10-01,2023,October,278320,231530
2022-11-01,2023,November,284620,235170
2022-12-01,2023,December,302390,252320
2023-01-01,2023,January,209150,157360
2023-02-01,2023,February,213910,156630
2023-03-01,2023,March,259470,193250
2023-04-01,2023,April,276040,211990
2023-05-01,2023,May,275170,206690
2023-06-01,2023,June,211460,144560
2023-07-01,2023,July,245150,183480
2023-08-01,2023,August,304070,232960
2023-09-01,2023,September,341390,269740
2023-10-01,2024,October,309020,240930
2023-10-01,2024,October,142990,106340
2023-11-01,2024,November,308600,242400
2023-11-01,2024,November,125240,94190
2023-12-01,2024,December,370880,301980
2024-01-01,2024,January,242530,176200
2024-02-01,2024,February,256070,189910
2024-03-01,2024,March,246500,189360
2024-04-01,2024,April,247930,179740
2024-05-01,2024,May,240920,170720
2024-06-01,2024,June,204930,130420
2024-07-01,2024,July,170180,104100
2024-08-01,2024,August,158890,107470
2024-09-01,2024,September,144670,101790
