Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,,,,,,,
Nationwide CBP Encounters by Encounter Type and Region: Fiscal Years 2014 to 2025 YTD (November 2024),,,,,,,,,,,,,,,,
,,Total CBP,,,,,Enforcement Encounters1,,,,,Administrative Encounters2,,,,
Fiscal Year,Month,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior
2014,Total,711670,570050,31020,56640,53970,611990,544670,25490,5700,36130,99680,25380,5530,50940,17840
,October,52740,41840,2480,4300,4130,45420,39840,2140,510,2940,7320,2000,340,3800,1190
,November,49380,38690,2640,3920,4120,41830,36580,1920,480,2850,7550,2110,720,3440,1280
,December,47250,36710,2580,3850,4120,39560,34570,1940,400,2660,7690,2140,640,3450,1470
,January,46610,35200,2150,4580,4680,38660,33340,1730,540,3050,7950,1860,420,4040,1630
,February,53830,42470,2460,4860,4040,45640,40810,1710,440,2690,8190,1660,760,4420,1350
,March,69570,57550,2430,5250,4350,61230,55550,2130,460,3100,8350,2000,300,4790,1250
,April,73850,59380,2490,7720,4250,63070,57460,2180,460,2970,10780,1920,310,7260,1280
,May,81380,69030,2550,5150,4650,72650,66770,2210,520,3150,8730,2260,330,4630,1510
,June,78400,66570,2680,4460,4680,70280,64350,2290,550,3090,8120,2220,390,3910,1590
,July,60950,48830,2940,4390,4800,52490,46620,2430,420,3030,8460,2210,510,3970,1770
,August,52090,39770,3160,3740,5420,43840,37290,2710,490,3350,8250,2480,450,3250,2070
,September,45620,34010,2470,4420,4720,37320,31490,2110,450,3270,8300,2520,360,3970,1450
2015,Total,591830,444860,28540,52830,65610,471290,403470,24170,4400,39240,120540,41380,4360,48430,26370
,October,47760,35900,2300,4830,4730,38840,33470,1960,390,3020,8920,2430,340,4440,1710
,November,44150,33020,2670,3970,4490,35510,30440,1950,310,2810,8650,2580,720,3660,1680
,December,46750,34230,2610,4800,5110,36220,30880,2090,390,2860,10530,3350,520,4400,2260
,January,43460,30180,2250,4770,6260,32120,27010,1600,350,3150,11350,3170,650,4420,3110
,February,43810,32550,1790,4690,4780,34520,29980,1560,240,2740,9290,2570,230,4450,2040
,March,51490,39160,2090,4690,5550,41610,35840,1890,300,3590,9880,3320,210,4390,1970
,April,50340,38300,2050,4410,5570,40770,35070,1800,310,3600,9560,3230,260,4100,1980
,May,52880,40680,2320,4310,5570,43210,37280,2070,350,3510,9680,3410,240,3970,2060
,June,50030,38620,2340,3590,5480,41180,35210,2120,410,3440,8860,3410,220,3180,2040
,July,51280,38610,2870,3850,5950,40780,34440,2510,410,3420,10500,4180,360,3440,2530
,August,55620,42420,2910,3870,6410,43630,37000,2540,490,3610,11980,5420,380,3380,2800
,September,54260,41170,2350,5040,5700,42910,36850,2100,440,3520,11360,4320,250,4600,2190
2016,Total,690430,558990,26790,39990,64660,569350,505090,23150,5730,35380,121090,53910,3640,34260,29280
,October,56550,45250,1900,4450,4950,43950,38970,1690,480,2820,12590,6270,220,3970,2130
,November,55550,45390,1950,3200,5010,44590,39750,1730,440,2680,10950,5640,220,2760,2330
,December,60290,48390,2160,3860,5880,50300,44850,1900,550,3000,9990,3540,260,3310,2880
,January,45580,33400,2490,3680,6020,35120,29640,1960,360,3170,10460,3760,530,3320,2860
,February,48880,38070,2300,3440,5070,36890,31970,1680,380,2860,11990,6100,620,3060,2210
,March,56460,45780,2080,3320,5280,45700,40340,1860,500,3000,10760,5440,230,2820,2280
,April,58800,48270,1910,3280,5340,50680,45230,1710,540,3210,8120,3040,200,2740,2140
,May,65770,54990,2110,3250,5420,54410,48760,1880,500,3280,11360,6230,230,2760,2140
,June,55740,45170,2270,3210,5100,47900,42570,2050,430,2860,7850,2600,220,2780,2240
,July,57430,46660,2570,3010,5190,48660,43250,2310,510,2600,8770,3410,260,2500,2600
,August,63360,51570,2630,3400,5760,53860,47940,2420,490,3020,9500,3630,210,2910,2750
,September,66020,56070,2430,1890,5630,57280,51820,1980,570,2900,8740,4250,450,1320,2730
2017,Total,526790,415200,27970,23370,60250,456670,385190,25010,4580,41880,70120,30010,2960,18780,18370
,October,77930,66710,2460,2160,6600,67600,61450,1970,410,3780,10330,5260,490,1760,2830
,November,73480,63370,1950,2130,6030,64580,58950,1740,410,3480,8900,4410,210,1730,2550
,December,69370,58420,2310,2020,6630,58110,52200,1880,550,3480,11260,6210,420,1470,3150
,January,52640,42460,2160,2140,5880,46120,39990,2010,490,3630,6520,2470,150,1650,2250
,February,31420,23560,1850,1870,4140,27750,22620,1720,370,3040,3660,940,130,1500,1100
,March,25830,16590,2390,2130,4730,21440,15510,1920,320,3700,4390,1090,470,1800,1030
,April,24220,15770,2040,2110,4310,20090,14540,1960,360,3230,4130,1230,80,1750,1080
,May,28760,19940,2140,2060,4620,24720,18730,1990,420,3580,4050,1210,150,1640,1040
,June,30220,21660,2370,1870,4320,26520,20430,2250,320,3520,3700,1230,110,1560,800
,July,33770,25010,2780,1850,4130,29750,23380,2670,360,3340,4020,1630,110,1490,790
,August,39580,30570,2850,1600,4550,35260,28430,2760,420,3660,4310,2140,90,1190,900
,September,39580,31160,2690,1430,4310,34720,28970,2140,180,3440,4860,2190,540,1250,870
2018,Total,686070,519940,34130,22270,109730,571060,498380,25980,4130,42570,115010,21560,8150,18140,67160
,October,48820,34840,2410,2030,9540,39160,33000,2170,310,3680,9660,1840,240,1720,5860
,November,51640,39030,2150,1910,8560,42950,37220,1950,300,3480,8690,1820,200,1610,5070
,December,53230,40480,2410,1620,8720,44720,38700,2240,290,3490,8510,1770,170,1340,5230
