state_abbreviation,state_name,reporting_period,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment,preliminary_or_updated,period_formatted
AK,Alaska,202501,244438,229677,14761,96982,147456,P,2025-01
AK,Alaska,202501,246432,231448,14984,97560,148872,U,2025-01
AK,Alaska,202502,240405,225782,14623,95669,144736,P,2025-02
AK,Alaska,202502,243847,229186,14661,96644,147203,U,2025-02
AK,Alaska,202503,235835,221504,14331,93999,141836,P,2025-03
AK,Alaska,202503,243077,228508,14569,96384,146693,U,2025-03
AK,Alaska,202504,231077,217291,13786,91888,139189,P,2025-04
AK,Alaska,202504,238271,224131,14140,94885,143386,U,2025-04
AK,Alaska,202505,223020,209810,13210,88616,134404,P,2025-05
AK,Alaska,202505,225031,211333,13698,86706,138325,U,2025-05
AK,Alaska,202506,224980,211659,13321,90017,134963,P,2025-06
AK,Alaska,202506,224980,211659,13321,90017,134963,U,2025-06
AK,Alaska,202507,208266,195887,12379,82662,125604,P,2025-07
AK,Alaska,202507,220373,207221,13152,88348,132025,U,2025-07
AK,Alaska,202508,205737,193413,12324,81557,124180,P,2025-08
AK,Alaska,202508,218824,205768,13056,87906,130918,U,2025-08
AK,Alaska,202509,214400,201512,12888,86376,128024,P,2025-09
AK,Alaska,202509,215641,202632,13009,86718,128923,U,2025-09
AK,Alaska,202510,211854,199110,12744,85271,126583,P,2025-10
AK,Alaska,202510,214818,201848,12970,86524,128294,U,2025-10
AK,Alaska,202511,207807,195239,12568,83609,124198,P,2025-11
AK,Alaska,202511,212388,199460,12928,85710,126678,U,2025-11
AK,Alaska,202512,210475,197629,12846,85106,125369,P,2025-12
AK,Alaska,202512,212089,199113,12976,85599,126490,U,2025-12
AK,Alaska,202601,210172,197303,12869,84968,125204,P,2026-01
AL,Alabama,202501,945069,762844,182225,674158,270911,P,2025-01
AL,Alabama,202501,956651,771806,184845,680890,275761,U,2025-01
AL,Alabama,202502,946644,762737,183907,675396,271248,P,2025-02
AL,Alabama,202502,955498,769769,185729,680622,274876,U,2025-02
AL,Alabama,202503,944327,760145,184182,674180,270147,P,2025-03
AL,Alabama,202503,953505,767428,186077,679521,273984,U,2025-03
AL,Alabama,202504,953178,768446,184732,679470,273708,P,2025-04
AL,Alabama,202504,961550,775147,186403,684013,277537,U,2025-04
AL,Alabama,202505,938679,754311,184368,669652,269027,P,2025-05
AL,Alabama,202505,947601,761378,186223,674850,272751,U,2025-05
AL,Alabama,202506,937844,752608,185236,669444,268400,P,2025-06
AL,Alabama,202506,946316,759359,186957,674469,271847,U,2025-06
AL,Alabama,202507,936239,750162,186077,668511,267728,P,2025-07
AL,Alabama,202507,948369,760049,188320,675764,272605,U,2025-07
AL,Alabama,202508,938822,750998,187824,670822,268000,P,2025-08
AL,Alabama,202508,947380,758080,189300,675575,271805,U,2025-08
AL,Alabama,202509,937597,748438,189159,670669,266928,P,2025-09
AL,Alabama,202509,947718,756883,190835,676222,271496,U,2025-09
AL,Alabama,202510,940264,749334,190930,672491,267773,P,2025-10
AL,Alabama,202510,947046,754925,192121,676185,270861,U,2025-10
AL,Alabama,202511,938982,747254,191728,671829,267153,P,2025-11
AL,Alabama,202511,945436,752535,192901,675260,270176,U,2025-11
AL,Alabama,202512,939065,745861,193204,671861,267204,P,2025-12
AL,Alabama,202512,945191,750744,194447,675229,269962,U,2025-12
AL,Alabama,202601,935658,741054,194604,670277,265381,P,2026-01
AR,Arkansas,202501,816385,734461,81924,403970,412415,P,2025-01
AR,Arkansas,202501,825477,742682,82795,407896,417581,U,2025-01
AR,Arkansas,202502,822228,739524,82704,406759,415469,P,2025-02
AR,Arkansas,202502,824245,741361,82884,408744,415501,U,2025-02
AR,Arkansas,202503,824245,741361,82884,408744,415501,P,2025-03
AR,Arkansas,202503,828054,744815,83239,410657,417397,U,2025-03
AR,Arkansas,202504,820916,741402,79514,409048,411868,P,2025-04
AR,Arkansas,202504,825857,746164,79693,411210,414647,U,2025-04
AR,Arkansas,202505,816798,737110,79688,409592,407206,P,2025-05
AR,Arkansas,202505,821900,741988,79912,411926,409974,U,2025-05
AR,Arkansas,202506,816018,736068,79950,410482,405536,P,2025-06
AR,Arkansas,202506,821198,741050,80148,412907,408291,U,2025-06
AR,Arkansas,202507,814615,734196,80419,411854,402761,P,2025-07
AR,Arkansas,202507,818956,738379,80577,413947,405009,U,2025-07
AR,Arkansas,202508,810357,729355,81002,413084,397273,P,2025-08
AR,Arkansas,202508,815146,733824,81322,415287,399859,U,2025-08
AR,Arkansas,202509,808278,726938,81340,413296,394982,P,2025-09
AR,Arkansas,202509,814767,732961,81806,416469,398298,U,2025-09
AR,Arkansas,202510,808325,726141,82184,415014,393311,P,2025-10
AR,Arkansas,202510,811928,729524,82404,416668,395260,U,2025-10
AR,Arkansas,202511,801189,718520,82669,414021,387168,P,2025-11
AR,Arkansas,202511,806626,723536,83090,416446,390180,U,2025-11
AR,Arkansas,202512,801024,717527,83497,414424,386600,P,2025-12
AR,Arkansas,202512,807724,723941,83783,417056,390668,U,2025-12
AR,Arkansas,202601,801620,717460,84160,398948,402672,P,2026-01
AZ,Arizona,202501,1872834,1754999,117835,806168,1066666,P,2025-01
AZ,Arizona,202501,1872834,1754999,117835,806168,1066666,U,2025-01
AZ,Arizona,202502,1859290,1741232,118058,800905,1058385,P,2025-02
AZ,Arizona,202502,1859290,1741232,118058,800905,1058385,U,2025-02
AZ,Arizona,202503,1849039,1731858,117181,796057,1052982,P,2025-03
AZ,Arizona,202503,1849039,1731858,117181,796057,1052982,U,2025-03
AZ,Arizona,202504,1830028,1713183,116845,792152,1037876,P,2025-04
AZ,Arizona,202504,1830028,1713183,116845,792152,1037876,U,2025-04
AZ,Arizona,202505,1818912,1702775,116137,787506,1031406,P,2025-05
AZ,Arizona,202505,1818912,1702775,116137,787506,1031406,U,2025-05
AZ,Arizona,202506,1793424,1678419,115005,776639,1016785,P,2025-06
AZ,Arizona,202506,1793424,1678419,115005,776639,1016785,U,2025-06
AZ,Arizona,202507,1788695,1674282,114413,776202,1012493,P,2025-07
AZ,Arizona,202507,1788695,1674282,114413,776202,1012493,U,2025-07
AZ,Arizona,202508,1761638,1646143,115495,767389,994249,P,2025-08
AZ,Arizona,202508,1761638,1646143,115495,767389,994249,U,2025-08
AZ,Arizona,202509,1744625,1628913,115712,760947,983678,P,2025-09
AZ,Arizona,202509,1744625,1628913,115712,760947,983678,U,2025-09
AZ,Arizona,202510,1720153,1605769,114384,751998,968155,P,2025-10
