state_abbreviation,state_name,reporting_period,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment,preliminary_or_updated,period_formatted
AK,Alaska,202501,246432,231448,14984,97560,148872,U,2025-01
AK,Alaska,202502,243847,229186,14661,96644,147203,U,2025-02
AK,Alaska,202503,243077,228508,14569,96384,146693,U,2025-03
AK,Alaska,202504,238271,224131,14140,94885,143386,U,2025-04
AK,Alaska,202505,225031,211333,13698,86706,138325,U,2025-05
AK,Alaska,202506,224980,211659,13321,90017,134963,U,2025-06
AK,Alaska,202507,220373,207221,13152,88348,132025,U,2025-07
AK,Alaska,202508,218824,205768,13056,87906,130918,U,2025-08
AK,Alaska,202509,215641,202632,13009,86718,128923,U,2025-09
AK,Alaska,202510,214818,201848,12970,86524,128294,U,2025-10
AK,Alaska,202511,212388,199460,12928,85710,126678,U,2025-11
AK,Alaska,202512,212089,199113,12976,85599,126490,U,2025-12
AK,Alaska,202601,210172,197303,12869,84968,125204,P,2026-01
AL,Alabama,202501,956651,771806,184845,680890,275761,U,2025-01
AL,Alabama,202502,955498,769769,185729,680622,274876,U,2025-02
AL,Alabama,202503,953505,767428,186077,679521,273984,U,2025-03
AL,Alabama,202504,961550,775147,186403,684013,277537,U,2025-04
AL,Alabama,202505,947601,761378,186223,674850,272751,U,2025-05
AL,Alabama,202506,946316,759359,186957,674469,271847,U,2025-06
AL,Alabama,202507,948369,760049,188320,675764,272605,U,2025-07
AL,Alabama,202508,947380,758080,189300,675575,271805,U,2025-08
AL,Alabama,202509,947718,756883,190835,676222,271496,U,2025-09
AL,Alabama,202510,947046,754925,192121,676185,270861,U,2025-10
AL,Alabama,202511,945436,752535,192901,675260,270176,U,2025-11
AL,Alabama,202512,945191,750744,194447,675229,269962,U,2025-12
AL,Alabama,202601,935658,741054,194604,670277,265381,P,2026-01
AR,Arkansas,202501,825477,742682,82795,407896,417581,U,2025-01
AR,Arkansas,202502,824245,741361,82884,408744,415501,U,2025-02
AR,Arkansas,202503,828054,744815,83239,410657,417397,U,2025-03
AR,Arkansas,202504,825857,746164,79693,411210,414647,U,2025-04
AR,Arkansas,202505,821900,741988,79912,411926,409974,U,2025-05
AR,Arkansas,202506,821198,741050,80148,412907,408291,U,2025-06
