year,state,state_po,district_id,candidate,party,candidatevotes,totalvotes,vote_pct,avg_poll_pct,n_polls,poll_candidate_matched,match_score,source
1998,Alaska,AK,AK-00,Don Young,REPUBLICAN,139676,223300,62.5508,,,,,MEDSL
1998,Alaska,AK,AK-00,Jim Duncan,DEMOCRAT,77232,223300,34.5867,,,,,MEDSL
1998,Alaska,AK,AK-00,"John J G ""Johnny"" Grames",GREEN,5923,223300,2.6525,,,,,MEDSL
1998,Alabama,AL,AL-01,Sonny Callahan,REPUBLICAN,112872,113564,99.3907,,,,,MEDSL
1998,Alabama,AL,AL-02,Terry Everett,REPUBLICAN,131428,189669,69.2933,,,,,MEDSL
1998,Alabama,AL,AL-02,Joe Fondren,DEMOCRAT,58136,189669,30.6513,,,,,MEDSL
1998,Alabama,AL,AL-03,Bob Riley,REPUBLICAN,101731,175217,58.06,,,,,MEDSL
1998,Alabama,AL,AL-03,Joe Turnham,DEMOCRAT,73357,175217,41.8664,,,,,MEDSL
1998,Alabama,AL,AL-04,Robert B Aderholt,REPUBLICAN,106297,188476,56.3982,,,,,MEDSL
1998,Alabama,AL,AL-04,Don Bevill,DEMOCRAT,82065,188476,43.5414,,,,,MEDSL
1998,Alabama,AL,AL-05,"Robert E ""Bud"" Cramer Jr",DEMOCRAT,134819,193490,69.6775,,,,,MEDSL
1998,Alabama,AL,AL-05,Gil Aust,REPUBLICAN,58536,193490,30.2527,,,,,MEDSL
1998,Alabama,AL,AL-06,Spencer Bachus,REPUBLICAN,154761,215582,71.7875,,,,,MEDSL
1998,Alabama,AL,AL-06,Donna Wesson Smalley,DEMOCRAT,60657,215582,28.1364,,,,,MEDSL
1998,Alabama,AL,AL-07,Earl F Hilliard,DEMOCRAT,136431,139181,98.0242,,,,,MEDSL
1998,Arkansas,AR,AR-01,Marion Berry,DEMOCRAT,1,1,100.0,,,,,MEDSL
1998,Arkansas,AR,AR-02,Vic Snyder,DEMOCRAT,100334,173071,57.9727,,,,,MEDSL
1998,Arkansas,AR,AR-02,Phil Wyrick,REPUBLICAN,72737,173071,42.0273,,,,,MEDSL
1998,Arkansas,AR,AR-03,Asa Hutchinson,REPUBLICAN,154780,191697,80.742,,,,,MEDSL
1998,Arkansas,AR,AR-03,Ralph Forbes,REFORM,36917,191697,19.258,,,,,MEDSL
1998,Arkansas,AR,AR-04,Jay Dickey,REPUBLICAN,92346,160540,57.5221,,,,,MEDSL
