month,total,criminal,non_criminal,pct_criminal
2025-01,7327,3348,3979,45.7
2025-02,16944,7598,9346,44.8
2025-03,18389,8164,10225,44.4
2025-04,17455,7698,9757,44.1
2025-05,22070,8822,13248,40.0
2025-06,29237,9833,19404,33.6
2025-07,26412,9381,17031,35.5
2025-08,27428,9504,17924,34.7
2025-09,32327,9806,22521,30.3
2025-10,36655,10752,25903,29.3
2025-11,34177,9536,24641,27.9
2025-12,39387,10418,28969,26.5
2026-01,37156,9845,27311,26.5
2026-02,29304,8728,20576,29.8
2026-03,10206,2916,7290,28.6
2026-09,1,0,1,0.0
