Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE Book-Outs by Criminality: Fiscal Years 2018 to 2025 YTD (November 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,Convicted Criminals,,,,,,,,Pending Criminal Charges,,,,,,,,Other Immigration Violators,,,,,,,
Fiscal Year,Month,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7,Total,Removal Book-out1,Order of Supervision2,Bonded Out3,Order of Recognizance4,Paroled5,Relief6,Other7
2018,Total,392100,204330,12570,54320,71890,28730,1670,18580,156370,122870,4370,13540,2100,310,830,12350,36310,20140,430,10650,1370,190,110,3420,199430,61330,7770,30130,68420,28230,740,2810
,October,27270,14990,620,3810,3980,2130,0,1740,12240,9480,290,1150,160,20,0,1140,2790,1550,20,830,90,10,0,300,12240,3960,320,1840,3720,2100,0,300
,November,29180,16040,690,3820,4760,2290,0,1590,12320,9710,350,1020,170,10,0,1060,2780,1640,20,780,90,10,0,250,14080,4690,320,2020,4500,2270,0,290
,December,31580,15510,790,4430,6560,2900,10,1400,12000,9370,350,1190,120,20,0,950,2730,1470,20,900,110,10,0,230,16850,4680,410,2330,6340,2860,0,230
,January,28670,14820,940,4420,4980,2010,10,1490,11790,9180,410,1110,130,10,0,950,2650,1430,30,810,100,10,0,270,14230,4210,500,2510,4760,1990,0,270
,February,29090,15590,700,4630,4220,2480,80,1390,12010,9450,320,1120,120,10,40,940,2710,1470,30,840,110,10,0,260,14380,4670,350,2670,3990,2460,40,200
,March,34240,17230,1030,4710,6220,3300,170,1580,13350,10470,360,1210,150,20,90,1060,3000,1570,40,940,120,0,20,310,17890,5180,640,2570,5950,3280,70,200
,April,34090,18060,730,4120,6700,2820,220,1450,13210,10470,380,1050,190,20,110,1000,3000,1670,40,890,110,20,10,270,17870,5920,310,2180,6400,2780,110,180
,May,37990,20300,850,4780,7090,3060,250,1670,15130,12170,410,1160,160,10,120,1100,3470,1970,50,990,110,10,20,310,19390,6160,380,2630,6820,3030,110,260
