Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,
ERO Administrative Arrests by Criminality: Fiscal Years 2014 to 2025 YTD (November 2024),,,,,,,,,,
,,,Convicted Criminals,,,,,Non-Criminal,,
Fiscal Year,Month,Total,Total Convicted,Aggravated Felons,Felons,Misdemeanors,Other/ Unknown,Total Non-Criminal,Pending Criminal Charges,Other Immigration Violators
2014,Total,183700,134730,,,,,48970,,
,October,19040,14060,,,,,4980,,
,November,16190,11940,,,,,4250,,
,December,15710,11630,,,,,4080,,
,January,16220,12070,,,,,4150,,
,February,15350,11470,,,,,3880,,
,March,16310,11780,,,,,4530,,
,April,16530,11880,,,,,4650,,
,May,15120,10960,,,,,4150,,
,June,13870,10100,,,,,3770,,
,July,13490,9850,,,,,3640,,
,August,12770,9310,,,,,3460,,
,September,13120,9690,,,,,3430,,
2015,Total,119770,101880,,,,,17890,,
,October,12820,9990,,,,,2830,,
,November,9730,7720,,,,,2010,,
,December,9230,7750,,,,,1470,,
,January,8550,7460,,,,,1090,,
,February,8360,7140,,,,,1220,,
,March,11700,10240,,,,,1470,,
,April,10570,9070,,,,,1500,,
,May,9650,8230,,,,,1420,,
,June,10560,9090,,,,,1470,,
,July,9670,8470,,,,,1200,,
,August,9400,8280,,,,,1120,,
,September,9530,8440,,,,,1090,,
2016,Total,110100,94750,,,,,15350,,
,October,10240,9130,,,,,1120,,
,November,8540,7620,,,,,920,,
,December,8780,7690,,,,,1090,,
,January,8050,6950,,,,,1100,,
,February,8760,7510,,,,,1250,,
,March,9670,8290,,,,,1380,,
,April,9460,8130,,,,,1330,,
,May,9650,8070,,,,,1580,,
,June,9100,7680,,,,,1430,,
,July,8440,7250,,,,,1180,,
,August,10120,8640,,,,,1470,,
,September,9310,7780,,,,,1530,,
2017,Total,143470,105740,,,,,37730,,
,October,9400,7570,,,,,1820,,
,November,9020,7500,,,,,1510,,
,December,9000,7450,,,,,1550,,
,January,9580,7850,,,,,1720,,
,February,11550,8570,,,,,2990,,
,March,14080,10440,,,,,3650,,
,April,12370,9120,,,,,3250,,
,May,13530,9790,,,,,3740,,
