date,label,snap_persons,snap_households,snap_benefits_dollars,avg_monthly_benefit_per_person
2025-01-01,Jan 2025,42828452,22718587,7962304363,185.91
2025-02-01,Feb 2025,42180523,22600332,7907221718,187.46
2025-03-01,Mar 2025,42193855,22633956,7935843121,188.08
2025-04-01,Apr 2025,42353149,22531012,7912963531,186.83
2025-05-01,May 2025,42248301,22492408,7870267738,186.29
2025-06-01,Jun 2025,42084880,22387591,7793629653,185.19
2025-07-01,Jul 2025,42012830,22349187,7817856779,186.08
2025-08-01,Aug 2025,41836900,22251078,7785804230,186.1
2025-09-01,Sep 2025,41633090,22167323,7718200274,185.39
2025-10-01,Oct 2025,41091800,21915695,7811603847,190.1
2025-11-01,Nov 2025,39997940,21565975,7688630669,192.23
2025-12-01,Dec 2025,39205146,21218367,7492249099,191.1
2026-01-01,Jan 2026,38535642,20920416,7337706312,190.41
2026-02-01,Feb 2026,37870817,20581644,7228055374,190.86
