month_label,avg_daily_participation,total_lunches_served,pct_free_lunches,date
Oct 2022,28595745.0,498717144.0,65.97,2022-10-01
Nov 2022,28358403.0,445660341.0,65.4,2022-11-01
Dec 2022,27979549.0,356744636.0,65.84,2022-12-01
Jan 2023,28607321.0,477395543.0,65.96,2023-01-01
Feb 2023,28985988.0,469468729.0,66.58,2023-02-01
Mar 2023,28817096.0,524794346.0,66.34,2023-03-01
Apr 2023,28805717.0,443508106.0,66.3,2023-04-01
May 2023,27921625.0,522706373.0,66.7,2023-05-01
Jun 2023,11547617.0,108118569.0,73.04,2023-06-01
Jul 2023,1401567.0,15172638.0,90.74,2023-07-01
Aug 2023,21891607.0,273451399.0,71.53,2023-08-01
Sep 2023,29514878.0,526041979.0,68.69,2023-09-01
Oct 2023,30116727.0,554421167.0,68.15,2023-10-01
Nov 2023,30107997.0,478771315.0,67.95,2023-11-01
Dec 2023,30375205.0,380156173.0,67.85,2023-12-01
Jan 2024,29540463.0,468713008.0,68.16,2024-01-01
Feb 2024,30203178.0,526471670.0,68.93,2024-02-01
Mar 2024,29657923.0,463930337.0,68.85,2024-03-01
Apr 2024,29900175.0,533570754.0,69.05,2024-04-01
May 2024,28661266.0,514847119.0,69.17,2024-05-01
Jun 2024,10425071.0,95007977.0,75.6,2024-06-01
Jul 2024,1536923.0,18081859.0,90.11,2024-07-01
Aug 2024,22562606.0,283905700.0,74.68,2024-08-01
Sep 2024,30196099.0,540521491.0,70.83,2024-09-01
Oct 2024,30695401.0,579293191.0,69.87,2024-10-01
Nov 2024,30500681.0,445825302.0,69.82,2024-11-01
Dec 2024,30038630.0,406626608.0,70.08,2024-12-01
Jan 2025,29818789.0,469501261.0,69.58,2025-01-01
Feb 2025,29991035.0,478747520.0,70.65,2025-02-01
Mar 2025,29866362.0,488546404.0,70.38,2025-03-01
Apr 2025,30248499.0,525146849.0,70.61,2025-04-01
May 2025,28690720.0,503266629.0,70.47,2025-05-01
Jun 2025,13431266.0,108504396.0,62.46,2025-06-01
Jul 2025,1906843.0,19946046.0,48.58,2025-07-01
Aug 2025,22431128.0,276352092.0,74.41,2025-08-01
Sep 2025,30025699.0,568689108.0,70.99,2025-09-01
Oct 2025,30243035.0,574769458.0,70.11,2025-10-01
Nov 2025,30026452.0,420895409.0,69.93,2025-11-01
Dec 2025,29336872.0,400910586.0,69.99,2025-12-01
Jan 2026,29252038.0,449107159.0,69.86,2026-01-01
Feb 2026,29585556.0,477588484.0,70.31,2026-02-01
"Data as of May 8, 2026",,,,
Annual participation data are 9-month averages (October-May plus September).  Cash payments are based on per meal reimbursement rates which are adjusted annually to reflect changes in food prices.,,,,
